dataset,outer_fold,model,selected_params,inner_macro_f1,inner_accuracy,outer_accuracy,outer_macro_f1,correct,total,features,selection_seconds,fit_seconds,prediction_seconds,tree_depth,tree_leaves,tree_nodes
Breast,2,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9298111434180761,0.934814308498519,0.9285714285714286,0.9228905045164133,65,70,14,1.771057144000224,0.16872143500040693,0.02381658899867034,,,
Breast,3,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.9382725243114537,0.9427584111794638,0.9285714285714286,0.9240945564953372,65,70,14,0.1291430159999436,0.0007799110007908894,0.00011364900092303287,6,19,37
Breast,3,Logistic,"{""C"": 0.1}",0.9317995271278589,0.9363940153413838,0.9142857142857143,0.9095607235142118,64,70,14,0.14493897200009087,0.001999846999751753,8.794099994702265e-05,,,
Breast,3,BernoulliNB,"{""alpha"": 1.0}",0.9319250574758183,0.9363864205969469,0.9,0.895187165775401,63,70,14,0.06697804000032193,0.0007203420009318506,0.0001809900004445808,,,
Breast,3,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9366404916386418,0.9411711095921622,0.9285714285714286,0.9240945564953372,65,70,14,1.683160233000308,0.1675334669998847,0.023732367999400594,,,
Breast,4,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 5, ""min_samples_leaf"": 1}",0.9401647585356825,0.9443760917445129,0.9285714285714286,0.9215070643642072,65,70,14,0.1386521240001457,0.0007676720015297178,0.0001134489994001342,5,16,31
Breast,4,Logistic,"{""C"": 10.0}",0.9366193273586724,0.9412014885699097,0.9142857142857143,0.9066666666666667,64,70,14,0.06295097600013833,0.009600759000022663,0.00015330799942603335,,,
Breast,4,BernoulliNB,"{""alpha"": 0.1}",0.9352592144303986,0.9396141869826081,0.9142857142857143,0.9066666666666667,64,70,14,0.02591730499989353,0.0007598209995194338,0.00018989199998031836,,,
Breast,4,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9366193273586724,0.9412014885699097,0.9285714285714286,0.9215070643642072,65,70,14,1.7127041309995548,0.14978172500013898,0.02274287500040373,,,
Breast,5,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 5, ""min_samples_leaf"": 1}",0.9400393552413361,0.9443912812333864,0.9428571428571428,0.9388111888111889,66,70,14,0.13238073499996972,0.0007524399989051744,0.00011153600098623428,5,17,33
Breast,5,Logistic,"{""C"": 10.0}",0.9332066997840188,0.9380344801397434,0.9428571428571428,0.9388111888111889,66,70,14,0.09452565200081153,0.0022244609990593744,0.00018599699978949502,,,
Breast,5,BernoulliNB,"{""alpha"": 0.01}",0.9318828551594084,0.9364547732968785,0.9428571428571428,0.9388111888111889,66,70,14,0.028069298999980674,0.0006660919989371905,0.00017915599892148748,,,
Breast,5,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9400393552413361,0.9443912812333864,0.9428571428571428,0.9388111888111889,66,70,14,1.5844043500001135,0.13882729099896096,0.012645470998904784,,,
Breast,6,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 5, ""min_samples_leaf"": 1}",0.926724473526172,0.9316548948127896,0.9714285714285714,0.9688888888888889,68,70,14,0.1374968500003888,0.0008323790007125353,0.0001253869995707646,5,17,33
Breast,6,Logistic,"{""C"": 10.0}",0.9313883716004691,0.9364167995746944,0.9714285714285714,0.9688888888888889,68,70,14,0.056260698000187404,0.0032870420000108425,8.838200119498651e-05,,,
Breast,6,BernoulliNB,"{""alpha"": 0.01}",0.9268500802246497,0.9316624895572264,0.9571428571428572,0.9537343027098479,67,70,14,0.021488524000233156,0.0006035679998603882,0.00017793499864637852,,,
Breast,6,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9298368687723846,0.9348294979873928,0.9714285714285714,0.9688888888888889,68,70,14,1.6657266000001982,0.14618905699899187,0.02375346500048181,,,
Breast,7,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.9447566916070004,0.9491304017619807,0.8714285714285714,0.8652406417112299,61,70,14,0.12990932700085978,0.0007396910004899837,0.00011234700104978401,6,16,31
Breast,7,Logistic,"{""C"": 10.0}",0.9414249748004728,0.9459482038429406,0.8714285714285714,0.8652406417112299,61,70,14,0.07342690899895388,0.021248686000035377,0.0001171040003100643,,,
Breast,7,BernoulliNB,"{""alpha"": 0.1}",0.9351300120905272,0.9395914027492975,0.8857142857142857,0.8809523809523809,62,70,14,0.03716220199930831,0.0005935539993515704,0.014799448001213023,,,
Breast,7,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9447566916070004,0.9491304017619807,0.8714285714285714,0.8652406417112299,61,70,14,1.689491191000343,0.15199109300010605,0.02448322500094946,,,
Breast,8,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 5, ""min_samples_leaf"": 1}",0.9349002326081642,0.9395989974937343,0.9571428571428572,0.9537343027098479,67,70,14,0.13129535999905784,0.0007373270000243792,0.0001421610013494501,5,16,31
Breast,8,Logistic,"{""C"": 10.0}",0.9331047752785334,0.937996506417559,0.9428571428571428,0.9377777777777778,66,70,14,0.07238740199863969,0.0034512170004745713,9.078500079340301e-05,,,
Breast,8,BernoulliNB,"{""alpha"": 0.1}",0.9268541290583899,0.9316548948127896,0.9571428571428572,0.9537343027098479,67,70,14,0.021834037999724387,0.0005879450000065845,0.00016938199951255228,,,
Breast,8,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9331243506786517,0.938004101161996,0.9714285714285714,0.9688888888888889,68,70,14,1.6568887149987859,0.14218869300020742,0.012618981998457457,,,
Breast,9,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 5, ""min_samples_leaf"": 1}",0.9334003064446915,0.9379813169286854,0.9714285714285714,0.9682971014492754,68,70,14,0.13604601100087166,0.0007582189991808264,0.00011301800077490043,5,16,31
Breast,9,Logistic,"{""C"": 10.0}",0.9298449026702172,0.9347991190096453,0.9714285714285714,0.9682971014492754,68,70,14,0.13180463800017606,0.013529858000765671,0.00010578699948382564,,,
Breast,9,BernoulliNB,"{""alpha"": 0.01}",0.9301530995317894,0.9347915242652084,0.9714285714285714,0.9688888888888889,68,70,14,0.02786542500143696,0.0008666089997859672,0.00019956699907197617,,,
Breast,9,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.9334003064446915,0.9379813169286854,0.9714285714285714,0.9682971014492754,68,70,14,1.7345938660000684,0.14344821800114005,0.023543672001324012,,,
Breast,10,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 5, ""min_samples_leaf"": 1}",0.940015388410977,0.9444444444444445,0.9420289855072463,0.9372727272727273,65,69,14,0.13162402899979497,0.0007702469993091654,0.00011179600005561952,5,18,35
Breast,10,Logistic,"{""C"": 10.0}",0.9348444994666979,0.9396825396825396,0.9420289855072463,0.9372727272727273,65,69,14,0.1346436129988433,0.006676777000393486,0.00010193200068897568,,,
Breast,10,BernoulliNB,"{""alpha"": 0.01}",0.9301004816115211,0.9349206349206348,0.9420289855072463,0.9372727272727273,65,69,14,0.022276566000073217,0.0005973789993731771,0.00017767399913282134,,,
Breast,10,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.940015388410977,0.9444444444444445,0.9420289855072463,0.9372727272727273,65,69,14,1.6445220779987721,0.15117303099941637,0.023904780000520987,,,
Flare,1,CART,"{""ccp_alpha"": 0.001, ""max_depth"": null, ""min_samples_leaf"": 1}",0.1439931258038817,0.8152016848060013,0.8345323741007195,0.11462450592885376,116,139,30,0.2020172519987682,0.003670983998745214,0.0001453870008845115,9,24,47
Flare,1,Logistic,"{""C"": 10.0}",0.14340237957511845,0.8351991483736088,0.841726618705036,0.11515748031496063,117,139,30,0.5530230639997171,0.10229710900057398,0.00017426999875169713,,,
Flare,1,BernoulliNB,"{""alpha"": 0.1}",0.16040794173382825,0.7296201500338192,0.6906474820143885,0.12269345238095238,96,139,30,0.035765914000876364,0.0006881039989821147,0.0002847340001608245,,,
Flare,1,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.14061384534033694,0.8167984842894915,0.8345323741007195,0.12970588235294117,116,139,30,2.514182715000061,0.1700080890004756,0.023649210001167376,,,
Flare,2,CART,"{""ccp_alpha"": 0.001, ""max_depth"": null, ""min_samples_leaf"": 1}",0.16300224312338787,0.8184202637889687,0.8489208633093526,0.13033088235294116,118,139,30,0.19576977400174655,0.003530443998897681,0.00013262799984659068,12,25,49
Flare,2,Logistic,"{""C"": 100.0}",0.1399779746497141,0.8296036247924737,0.841726618705036,0.1142578125,117,139,30,0.4094981309990544,0.07991568699981144,0.00019876599981216714,,,
Flare,2,BernoulliNB,"{""alpha"": 1.0}",0.19082986252957923,0.7472195320666545,0.7697841726618705,0.20075757575757575,107,139,30,0.026637386999937007,0.0007945819997985382,0.00020523500097624492,,,
Flare,2,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.13467544832789488,0.8160087314763574,0.8345323741007195,0.1276997274061648,116,139,30,2.736846052999681,0.19461325699921872,0.03420165599891334,,,
Flare,3,CART,"{""ccp_alpha"": 0.001, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.14352738739372906,0.819204251983029,0.8129496402877698,0.13408730857243445,113,139,30,0.20085421099975065,0.0032386599996243604,0.00015189599980658386,10,19,37
Flare,3,Logistic,"{""C"": 100.0}",0.12681356444505332,0.8343921017032527,0.8201438848920863,0.12907881526104417,114,139,30,0.5769241670004703,0.06953687900022487,0.0001684100006968947,,,
Flare,3,BernoulliNB,"{""alpha"": 10.0}",0.16155145724782702,0.7895817961015803,0.7769784172661871,0.15053050397877984,108,139,30,0.026880157998675713,0.0007811430004949216,0.00020150999989709817,,,
Flare,3,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.13426155986386334,0.8215965688987271,0.8057553956834532,0.12425294004241373,112,139,30,2.6724693039996055,0.1767343459996482,0.023032476001390023,,,
Flare,4,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.13893620888258842,0.8055920648096908,0.8129496402877698,0.11345381526104417,113,139,30,0.19757475000005797,0.002864833999410621,0.00014432399984798394,10,159,317
Flare,4,Logistic,"{""C"": 100.0}",0.13117449343255125,0.8343997878620181,0.8489208633093526,0.13137254901960785,118,139,30,0.638434184000289,0.08647175400074048,0.00018363299932389054,,,
Flare,4,BernoulliNB,"{""alpha"": 1.0}",0.1559858422850367,0.7528131341080981,0.7338129496402878,0.12439137491305356,102,139,30,0.024971408000055817,0.0006852200003777398,0.000188110001545283,,,
Flare,4,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.13265161545060933,0.8175940017216995,0.8201438848920863,0.114,114,139,30,2.5253068519996305,0.18497122100052366,0.033530151999002555,,,
Flare,5,CART,"{""ccp_alpha"": 0.0, ""max_depth"": 10, ""min_samples_leaf"": 5}",0.1389854786694705,0.8287984996618091,0.8345323741007195,0.12971230158730157,116,139,30,0.19885740900099336,0.002636883999002748,0.00014211199959390797,10,91,181
Flare,5,Logistic,"{""C"": 100.0}",0.12945504237628142,0.8343978663223267,0.841726618705036,0.13083989501312338,117,139,30,0.5871991060012078,0.13170220000029076,0.00018305300000065472,,,
Flare,5,BernoulliNB,"{""alpha"": 10.0}",0.1517562276002896,0.7936035786755212,0.7697841726618705,0.17480449239375517,107,139,30,0.035826634000841295,0.0009162139995169127,0.00020544600010907743,,,
Flare,5,RandomForest,"{""max_depth"": 20, ""min_samples_leaf"": 1}",0.14217063499032886,0.8175959232613909,0.8057553956834532,0.13559814169570267,112,139,30,3.1398969869987923,0.16958301200065762,0.02359540999896126,,,
Flare,6,CART,"{""ccp_alpha"": 0.001, ""max_depth"": 10, ""min_samples_leaf"": 1}",0.18939652731728565,0.8280125899280576,0.841726618705036,0.1142578125,117,139,30,0.274750729000516,0.0031823160006752005,0.00022861100114823785,9,15,29
Flare,6,Logistic,"{""C"": 100.0}",0.15567619532768343,0.8320074709463198,0.8273381294964028,0.11408730158730158,115,139,30,0.4884190820012009,0.04021957199984172,0.00012920200060762,,,
